,1_Jun-Lung_Control,2_Jun-Lung_GSK,3_Aug-Lung2_PD1,4_Aug-Lung3_GSK,5_Aug-Lung4_Combo,6_Oct-Lung_Placebo
Adarb1(+),0.0,0.0,0.0,0.0,0.0,0.0013996016724116443
Ahr(+),0.00976504742267705,0.020603689065775175,0.0,0.0,0.0,0.0
Ar(+),0.0,0.0,0.0,0.0,0.000647752199673475,0.0
Atf3(+),0.04746522941854807,0.057773132651671846,0.05191152142938363,0.01660533537287882,0.0327702795633198,0.06007804495320711
Atf5(+),0.00018660151355469746,6.307001624898929e-05,0.0,0.03183945596808548,0.0013720473087999638,0.01074909381488934
Bcl11b(+),0.03872036752127433,0.0,0.0,0.0013443349808520252,0.0,0.0008958550382763809
Bhlhe41(+),0.01038854985170315,0.003954605282008718,0.018060917235857468,0.01368931306776613,0.012598580192881622,0.012665452025036859
Cebpa(+),0.039197797449602834,0.019973372070163288,0.014453648279496183,0.01453244879064275,0.00875024380068892,0.0006661642391740022
Ckmt1(+),0.0,0.0,0.019623983002679705,0.01440197028253747,0.0,0.0
Dbp(+),0.001553337766756169,0.0003263734989705607,0.010441277194387458,0.021653477620260403,0.002711253668335394,0.03122845107255843
Ddit3(+),0.030974979755473562,0.07906570233440204,0.03417185384014305,0.04523661251287798,0.026670296972807907,0.0486143427636676
Ebf1(+),0.08885556473528602,0.0029101039912809617,0.0041820395087013434,0.00021781717905243106,0.002090885167049972,0.0009633853289748687
Egr1(+),0.045753963252578495,0.02473147241605151,0.049670026164580855,0.027440122668753245,0.05352771024814847,0.12019138607421305
Egr2(+),0.004125586829658163,0.001794440922050471,0.019968446974595093,0.0,0.0143887723637729,0.019651805545781352
Ehf(+),0.002074367541254874,0.0,0.01421267435942481,0.0,0.0,0.02198742444614938
Elf5(+),0.0007617744914579167,0.0006701219989244538,0.007712195831460553,0.08544011048660347,0.024547706773929864,0.0
Ets1(+),0.06758780457744422,0.013282945525603955,0.0025359094985305535,0.00154133587220544,0.002333784638808068,0.001523687402074292
Ezh2(+),0.0019093348427399067,0.0015027923874773943,0.0008685892693962365,0.0002975438509737425,0.0021517996556081405,0.0003780166300804371
Fhl2(+),0.0,3.449186091259776e-05,0.0,0.0,0.0,0.004167418233832349
Fosb(+),0.03793947098276191,0.02243800617495846,0.0049450023963949815,0.0014976131845182996,0.004335230815836202,0.0815018602325153
Foxm1(+),0.0,0.00025811797957724536,0.00029728555745977425,0.0,0.0009182913253620833,0.00018922993536400518
Foxq1(+),0.00722343607865929,0.0,0.0,0.0027166040617307703,0.0016708349475115034,0.0
Gata6(+),0.0015897435480178878,0.0003349230646517755,0.0005514830540521821,0.00013813624121874335,0.00033941069746262396,0.0003636088971678335
H1fx(+),0.0034660626118916435,0.00017275690660506528,0.0,0.0,0.0,0.0
Hes1(+),0.035276845674109276,0.002441523264628049,0.0014706019193830384,0.0012349673055843256,0.005374631170754008,0.0007376304352460152
Hivep3(+),0.0,5.20119364093732e-05,0.0,0.0007411745256028303,0.0,0.0
Hmgn3(+),0.0,0.00026999455996219615,0.0009073311477146187,0.0,0.0,0.000483344094273069
Id1(+),0.0,0.0,0.0,0.03282907161411011,0.06332188358574181,0.0
Id2(+),0.0,0.0,0.0,0.0,0.047400907302680255,0.0
Ikzf2(+),0.0,0.0005237059775764819,0.0018228247644475105,0.003951890844141009,0.0,0.0
Irf7(+),0.010795508007020619,0.006077301955983584,0.023132219800815475,0.05513449880847178,0.016797663255825716,0.0508899200717741
Irf8(+),0.04335024779192526,0.023135253902884755,0.01689548545380125,0.011678509918965949,0.011847525282581015,0.010606125043056571
Irx3(+),0.0,0.0,0.0,0.0,0.00026898372695241123,0.0
Jdp2(+),0.022071041143711098,0.06386879685633938,0.02125511052836029,0.04592375433872472,0.02044716917362782,0.054705539266085276
Klf4(+),0.021300950978354376,0.02083928510365341,0.00933008459894397,0.012056290454504353,0.009557909132496852,0.044211186973348866
Lef1(+),0.05609023473426752,0.02271201541953065,0.0011756854102306605,0.0007057546572421156,0.0017302061062363058,0.0006612422143573096
Lmo2(+),0.0,0.0,0.0015021284424611948,0.008984082028186898,0.0,0.0
Maf(+),0.016495218730196718,0.0,0.0027960430537097526,0.002938501477610455,0.002284787383682464,0.0007948151974581637
Mafb(+),0.04694863294542452,0.03470229612143116,0.019906605207011752,0.011927346529741817,0.013470548461208124,0.007992791261389541
Mecom(+),0.0017185093969227046,0.0004235607166573132,0.0,0.0016560234686642569,0.0026537117391481975,0.0
Mef2c(+),0.09756168790763114,0.023738968387148375,0.01209810275419258,0.007966761471296695,0.008750904130928182,0.005205812503271442
Mxd3(+),0.0,0.0,0.0,3.6208715715851985e-05,0.0007058041888910832,0.0
Mycl(+),0.0014165773710367088,9.569058551731185e-05,0.0,0.0,0.0,0.0
Nfia(+),0.0015132584777994076,0.0003063898024925961,0.001813630919005428,0.0004982862976099253,0.001216650655365265,0.0031452194563220525
Nfib(+),0.0018535044791626245,0.00019892491823328106,0.0034706346920615775,0.0004088828813090102,0.001130442457557065,0.001045978454923734
Nfix(+),0.005026608932007922,0.0010816752737513795,0.0014132831050976573,0.0007030825020743008,0.0,0.0020365703844104546
Nkx2-1(+),0.0015166824477786,0.0003904263598408592,0.005880489273729269,0.003207550795952596,0.0,0.0
Nr1d1(+),0.0,0.0001567595064057715,0.01447525964471808,0.047466397142617536,0.010346750220605999,0.01804179498388733
Nr1h3(+),0.0017674788776323796,0.004557974724601637,0.004873786961902049,0.0024533123639754284,0.011294883763539843,0.004456423312182518
Nr2f2(+),0.002308731438811515,0.00017863410757464168,0.0006174301137718201,0.000531113390217429,0.0009672928043405038,0.0006963918967127031
Nr4a1(+),0.012871550865117614,0.0,0.09326560962278166,0.0,0.005944692600302976,0.0
Pax5(+),0.0871517490499396,0.0037846230638125867,0.0021628105120786415,0.0003128190696514436,0.0013823881339038522,0.0007972784493854666
Pbx1(+),0.0037827908587916193,9.149911341161483e-05,0.002728001704736207,0.0018900969492670384,0.003845803198334366,0.0018596264182148328
Pou2af1(+),0.0,0.0011724076322622526,0.0,0.0,0.0,0.0
Pparg(+),0.018575971238672277,0.0037935343640365196,0.004679451785316757,0.0018640044198206507,0.005328636922405499,0.004010503183902215
Sox2(+),0.003911722919228666,0.0007199703447408241,0.002079222310819619,0.0014897763773720517,0.0021706598102156816,0.0013077662246402425
Sox4(+),0.0012485168022964071,0.0005527683362261299,0.001483032034735861,0.0,0.0009845860774088885,0.001659848152293526
Spats2(+),0.0,0.00011518887774514589,0.0,0.0,0.0,0.0
Tcf4(+),0.021867628225839004,0.0036732773140565125,0.006866458974609461,0.003668246598334055,0.0034550236893742185,0.0027479393960687785
Tcf7(+),0.026268364732840985,0.024218914147512656,0.0006780246627901291,0.000795657582037369,0.0016493178497084707,0.0007868458827371904
Tcf7l2(+),0.022320028570902022,0.005667855328985248,0.006956642463922238,0.005250811115811998,0.007344216283955243,0.007947118914036879
Tfec(+),0.014763445812084202,0.00461142586242232,0.00835153858858549,0.005150645543227266,0.008053427049010421,0.008872286775241038
Yod1(+),0.0,0.0,0.0,0.07710106156841719,0.0,0.0
