,Ahr(+),Atf3(+),Atf5(+),Bcl11b(+),Bhlhe41(+),Cebpa(+),Dbp(+),Ddit3(+),Ebf1(+),Egr1(+),Egr2(+),Ehf(+),Elf5(+),Ets1(+),Ezh2(+),Fosb(+),Foxq1(+),Gata6(+),H1fx(+),Hes1(+),Irf7(+),Irf8(+),Jdp2(+),Klf4(+),Lef1(+),Maf(+),Mafb(+),Mecom(+),Mef2c(+),Mycl(+),Nfia(+),Nfib(+),Nfix(+),Nkx2-1(+),Nr1h3(+),Nr2f2(+),Nr4a1(+),Pax5(+),Pbx1(+),Pparg(+),Sox2(+),Sox4(+),Tcf4(+),Tcf7(+),Tcf7l2(+),Tfec(+)
B cells,0.005222594729551996,0.018677769597110466,0.0,0.007721935044756065,0.012515162808178314,0.020446439560798963,0.0004975893736585988,0.010170105687222425,0.33758489448518547,0.025100734409419834,0.001033419565903657,0.0009114514812586694,1.150346946300369e-05,0.06812611131055606,0.0009725083063352953,0.019212459651175847,0.0008718540350877661,0.000893432931677327,0.003405350241098199,0.11829507659767474,0.004456375204711828,0.09918573815244897,0.0035754363509426187,0.016962201666474823,0.028268973082301824,0.0028047454678656997,0.012660039235218854,0.0006667950095273152,0.31327012001258736,0.0010521559461236514,0.0006384135750354237,0.0006907659183566932,0.002592942492332645,0.00019077771970771933,0.0007254599705007007,0.00045196182031906546,0.010118080432410644,0.3237585635667969,0.0008005025207114965,0.006723191808329336,0.00046269416267285976,0.00031521045523674724,0.07204587919857545,0.009109780033307856,0.013931921786771412,0.008346796344963745
Dendritic,0.022231101973633136,0.0862256320821956,0.0,0.0033854197442279533,0.011042118237487285,0.08715405900628509,0.00029061040591349684,0.012889538903921922,0.11072781636360755,0.026536677948740515,0.0007283279376358873,0.0009718707322405146,0.0007477193445436167,0.010861670472095108,0.00029141000841614715,0.019631512711051964,0.00041628773591732984,0.0005727133077328383,0.00026752892532543076,0.0748513823383917,0.019057437678563122,0.07666528643507227,0.008547995665674176,0.044786620593086884,0.006674324674751139,0.014949449445362513,0.16683611285899835,0.00040791595496547417,0.17687566086106274,0.005266063123547519,0.00046829014981087275,0.0006833479637527921,0.006750474801060077,0.00035940239907563667,0.0010917714583926312,0.0005870658812250025,0.04774920876089974,0.09698823921019306,0.0007756576591387255,0.03641414398456682,0.001220044091068099,0.00018837333594724478,0.03432734492131299,0.0023467928213623786,0.05357181968325533,0.018742965762396434
Eryth.,0.0008836321204766101,0.027830634713066217,0.0006830748932019696,0.0022053388218402233,0.012927313515375082,0.02689090063769286,0.013242432247220007,0.01690895875819338,0.026817360108257342,0.020798313464335746,0.032206521352776275,0.012648571945915227,0.0007124795051123006,0.01556267053934036,0.011917772859807217,0.0149436022442555,0.010949254089010967,0.0015158381934959218,0.029581929697358674,0.00814641700902793,0.0103664971408089,0.01542872718098735,0.017726395666409902,0.014187638508538552,0.0052508914155589255,0.006617354573902699,0.024196355093742985,0.0019744883346698426,0.03176086503994935,0.0,0.0016183462149579003,0.0027518484058769986,0.010162726375050892,0.013558486964380136,0.003364793188666339,0.00475245952627981,0.013208679678413139,0.029321850611389512,0.0030816526443578993,0.014128215484128273,0.04187608951834726,0.0009840758198887583,0.008739566924485532,0.006591196574935092,0.019757064566679132,0.013392215294234735
Lung Ep.,0.0059992946583848576,0.028841235781849175,0.0063317400654831065,0.006956284830437394,0.009513383556998673,0.02662478896209453,0.023007463550903877,0.010674007913542394,0.017839675517801128,0.010590821935891167,0.005907318615653022,0.03897694072390663,0.0256386378255512,0.013897302837593568,0.0010656446469388303,0.015123617638456485,0.029516504086968886,0.027444582837667444,0.007810742030762581,0.004491221900190471,0.007266692404579277,0.015987999213921477,0.020917921758807256,0.01907552850220345,0.010666283704146276,0.013277510594627749,0.040840687717599834,0.035334648098476744,0.021309163520544107,0.014534953982950889,0.030344037292303377,0.04434463609500801,0.022615363321269778,0.03732627452395949,0.024939782740604627,0.0493917321849856,0.005944696487088389,0.018859915585263887,0.049259529266975015,0.012126187204058005,0.07506843046923842,0.025469108229375707,0.009133748792280483,0.004726816742403545,0.016735073205150972,0.010999264376577824
Macs 1,0.09389916909486187,0.10275533707883094,0.0,0.0,0.006940902668954491,0.09613103183392807,0.00013277189273236701,0.015696158817353006,0.051491187718686035,0.02177384640728185,0.00047640514516887513,6.363544972190216e-05,0.0,0.009686435044722276,0.00016259622760483647,0.02119126737621285,4.851567855571028e-05,0.00025928481955946693,0.000147276043239695,0.028969856974092812,0.02578471853959948,0.060906094440236105,0.013388138939549328,0.0379182438870229,0.0009352810027684959,0.025527730320566804,0.18290565523277322,0.0005630471975032967,0.09486715452380617,0.00011455582653579784,0.00024373204321716274,0.0006503038252634003,0.009599324501324348,0.0,0.000727843234163722,0.00029380360442670577,0.006382297437211603,0.04763504742582777,0.002429037714056535,0.027268159101372896,9.162762017743345e-05,0.00035149143722594577,0.019083409221847272,0.0011734238705010751,0.0389718131306297,0.014828551485219778
Macs 2,0.004413164747016503,0.04014659180993132,0.00014477547205560514,0.012506782667560197,0.02866293869050961,0.10319540829625501,0.0,0.007313861598174378,0.09403795107920347,0.004214011806808089,0.0023573943653066418,4.3878676973994285e-06,2.3727989191532574e-05,0.004620429553124948,0.00033582011898158085,0.00637285701109845,0.0,0.00032355400586421286,0.00018396577479071487,0.04920213138786796,0.0024379594607584934,0.06341664614718498,0.008207961857648115,0.0128971380366396,0.0009653145995158357,0.0014280422334945655,0.09812340130325947,0.0003616474344907201,0.1482995455504403,0.0,0.0009085211364016491,0.00010138016970007937,0.010920525009924421,6.463105960730057e-05,0.004013107079693392,0.000501357495194517,0.0,0.08015843553833568,0.0014489988958126137,0.06747521084028818,0.00010085980695507423,0.0008335156550546604,0.024813599930744355,0.0023721906004367035,0.06095851786958506,0.05208827315509079
Macs 3,0.0022594255819051575,0.03229882322689023,9.671521365635808e-05,0.003489123054538052,0.028918477582340892,0.08647521477212046,0.00045243263691657423,0.0072425948066878664,0.0918966193333218,0.002758084796657025,0.002949784348620576,0.0001604332049221024,0.00040008303666715686,0.010729571883595251,0.001256685524446679,0.005160031097531921,0.00022830242734572575,0.0005097149108279088,0.0017737532258357055,0.05162186306467438,0.0033377078403759456,0.06160154760229941,0.005821819930931049,0.013888707285082598,0.002089212114791293,0.0019029139286981546,0.08399828994554494,0.0009008322838001314,0.14354063249687166,0.00011354493364484191,0.001701148276254659,0.0005356076981002395,0.010015204949581998,0.000519407149254785,0.0039796135683791,0.0010252861034092623,0.0019478015467409475,0.07954558219722983,0.0012032393660617784,0.057919648822952516,0.0006843933550164601,0.0011174215236929113,0.025415273948373455,0.0009351520569551167,0.049802691878733776,0.04865491639134498
Neu-1,0.0014263377887474332,0.09156321426960826,0.00023709560337020356,0.004257920870041546,0.008872093839412681,0.04445543517389884,0.001264230645702626,0.08625325059068903,0.012791489893428848,0.12339751090775246,0.012882547299337563,0.001477586351092326,0.00033392741753684736,0.018043993337669078,0.000944414132665509,0.1000746679114616,0.0002460683223617634,0.002198571418272064,0.0019741562621941617,0.004393640167894235,0.010393490749373546,0.016698457146248936,0.05590562216072136,0.025599405639139355,0.008480618464107356,0.003654428503892158,0.04111698787756363,0.0011065887301725196,0.023271823469854954,0.0018822655143800348,0.0008844020040328385,0.001704238589983273,0.005304035850177873,0.0008600723966515677,0.0013990689624467686,0.0023972134495752195,0.0491846716005123,0.013925337109330036,0.005457927102362362,0.022192423564819912,0.0016358638980196632,0.0003887247395891982,0.006586994170739434,0.0026939382992915337,0.02564431401184216,0.01616321821199437
Neu-2,0.0009471228141261252,0.10254271660350603,4.371891538768175e-05,0.0017161280872568453,0.0071491344349671115,0.04587117415484695,0.00032778783680776307,0.0982905424792444,0.0074143517123398395,0.08860241919688104,0.007026859426856801,0.0010260179505664074,0.0005800652981084227,0.006728096128869468,0.0004616469759889579,0.07000766323671855,0.0002175779514163104,0.0009647295682769249,0.0024954065187455217,0.002125806248047935,0.008655498184420102,0.010157278068153508,0.07821334059865023,0.016239892552372272,0.0037395293224301734,0.0012496975779087256,0.056716167123942444,0.0009571598067078597,0.012791784464985634,0.0002378019764529141,0.0006485981173080296,0.0010874382456353667,0.004261745314930651,0.0003740571063617489,0.0013629420738046323,0.0019271538459075493,0.02226395687174395,0.008116605064394935,0.004971970509326379,0.02250108710286393,0.0011522966319761697,0.00018058786512544292,0.004050394827753307,0.0012083396554351462,0.024872483411063066,0.014457914794271887
Neu-3,0.0014051162934889852,0.10010013137490169,0.0,0.003916089147098263,0.009243811861176062,0.0454008556232869,0.0006804104758177939,0.1047981347635225,0.008924778962611062,0.13220131551539366,0.011913154546039076,0.0015383856196644755,0.0009517607366232465,0.010544315760374902,0.0008380824408465874,0.0999463329035479,0.00032671595178578245,0.001519446793171395,0.0034524041613653786,0.0031654189818695936,0.009234372715251299,0.013704865082267124,0.06604952916724512,0.023004976698956056,0.006139238925229984,0.0025464093479543298,0.039196196347438046,0.001328245457829547,0.016249084658791175,0.0013106559801033132,0.0009745904168886571,0.0011700384481136397,0.004176941279225252,0.0009522693651881526,0.00199571075834872,0.002046373249281179,0.04082960644609792,0.010090141238467559,0.005728504501812409,0.0225055543012323,0.0017776921956232936,0.00044634130770472856,0.005674466644431867,0.0015794802750528202,0.025069505139718864,0.01606943530955007
Neu-4 classic,0.0014672266754228057,0.10084459111093746,0.0,0.0,0.006961315616378539,0.05206534237916764,0.00010390806957694614,0.07664178847175626,0.003062908245545911,0.05411963828893148,0.001192220256919998,0.0005664595732284231,0.0005295417035495635,0.008106102244503966,0.00019836617890623792,0.04149112859852654,9.589103133340193e-05,0.0009421851863636898,0.0025522905305096415,0.0024762338969073366,0.009133075073176022,0.009411124501645631,0.07842385447956032,0.010474768132903628,0.0048847619224660094,0.0015034025617028483,0.08076506165543607,0.0011685008831664268,0.006010222751017189,0.0,0.0007292647794903557,0.0010766938832854598,0.006574787392753223,0.00010919881266434423,0.0006500081438735808,0.002826926915677579,0.00636179485929412,0.004276643571360704,0.0033621200159867906,0.02545913178798421,0.0002989568408527839,0.00020688685328896337,0.0019581315423895557,0.001698410418551375,0.025916330903331633,0.014350084811178832
Neu-5 IFN,0.0,0.10609764976898131,0.0,0.00782709246413536,0.00791784209843467,0.04749850839280277,0.00044213040279877995,0.08585759000258444,0.004625948254010194,0.07752404153754296,0.006781084662412851,0.00036670612878591,0.0,0.00602703702361235,0.00011607130885144334,0.06392769867534452,0.0,0.00028696587218484065,4.3408802610248555e-05,0.0,0.026548612544784737,0.011618828891490079,0.07000693096136938,0.0123315747292883,0.0051704491529601,0.00162634361251431,0.0729184896779278,0.0005487999533611,0.0093781346869502,0.0,0.00060032196057092,0.0013003192847409288,0.00412569327085502,6.954903367901e-05,0.00209226596576573,0.00265958379702327,0.013730430877448399,0.00707685786574924,0.00403738841092151,0.018296061717531557,0.0009048513491749001,7.146841227484939e-05,0.0039279735536386405,0.00230642474619779,0.02097608356808802,0.01060661679449512
Prol.,0.0017882941653562152,0.023859838230959385,0.0,0.018170985948481072,0.0198789319824848,0.053982050561402484,1.010766521454717e-05,0.006202102542865271,0.09699626038165353,0.007087540619428,0.0013239889414445472,0.00017579103087941698,7.314600792082641e-05,0.04032654167066523,0.019693293519940328,0.009761103190215375,0.0017439697052281284,0.0006871972528286303,0.013059207367351963,0.04155243869564137,0.006927486504384884,0.05717261720170922,0.005038186591977719,0.012886864271707474,0.024650925509014453,0.008734915123185374,0.05123123631933751,0.0004746329813667036,0.1258858670109928,1.7757221833773582e-05,0.0005833465260517736,0.0005340440927299789,0.005483750030987758,0.0003247397279869396,0.0014661608251712714,0.00024659876079958024,0.0006672879500189321,0.09238247627395599,0.001704784752777204,0.030327849237786714,0.0007250696631131217,0.0010882735726269943,0.026714359590958043,0.007843278846290982,0.029848211397929487,0.025389476070697286
T cells,0.009645648448229344,0.019801842312574494,3.619896939258456e-05,0.13444004737467238,0.006308129006159041,0.015769608819214465,0.001061801197895161,0.01142283089604928,0.01312365731698593,0.04115661973791085,0.0016753708097860464,0.0009492138376044611,2.1100739067440217e-05,0.1608250228385823,0.0024640265898847645,0.04229972040469531,0.02504410288229405,0.0016810836402265021,0.00237329355323842,0.0013606114347114212,0.010712625007852247,0.020385398336257993,0.004278181077820219,0.024774352824581986,0.17409679335399494,0.046109499214139114,0.015192411179904811,0.0017292750517588008,0.017093147232031522,0.0014314657504158007,0.0014951658140478794,0.0013157408205852741,0.0032285421054823937,0.00022398079154657447,0.0007360742251696838,0.0017593040927026769,0.0040775285439521415,0.02276197155787974,0.004197178954920575,0.00705047037880869,0.001360293742786105,0.0014825781566976074,0.004350513094605969,0.08842431137944587,0.009337488329750634,0.008531727285967492
T cells 2,0.004886371944058699,0.017700296675314614,0.0,0.053033313167126596,0.006039052222965222,0.019459487454355967,0.0011375257395979507,0.010732245169628419,0.012246161164445456,0.05534675753214006,0.0012020870557707224,0.0006030329815406116,0.0,0.1338348451162609,0.0024940967395464084,0.036863887728339484,0.0035563803947287974,0.0006138280098313331,0.0019330123877436447,0.014102921225623396,0.023371673857624127,0.03543971479242113,0.003762554721056387,0.020457221177645972,0.09307531209112008,0.025066942096765348,0.01387649534024601,0.0005538858614890786,0.01750175086372393,0.001748579460663528,0.0005300385168327003,0.0004264625707102196,0.001980005959466876,0.0001300766371791158,0.0005704593611213133,0.0005167718928061932,0.0026838713872085022,0.017377552431611154,0.00111535093502479,0.009097437935494114,0.0006634363758210947,0.001193314722138236,0.00510155262832659,0.0363002468068352,0.010724490136679324,0.009147914891758513
Tumor,0.0454384134824359,0.0803034873511602,0.0,0.0,0.0201993891315351,0.0354309524903333,0.0300435169384278,0.1010914486181233,0.0199385694881348,0.1225208602072307,0.0030364584292717,0.2015648277217731,0.0261679843336761,0.0285609083878886,0.0058186374538067,0.0945237939133064,0.0,0.020388640494156,0.0461136052897321,0.0392017437264785,0.0091706644680358,0.012715340816426,0.017562924837857,0.1137499825709411,0.0,0.0207320081021441,0.0410199031410828,0.0268077156407404,0.0260296939184381,0.0,0.0105580490088994,0.0055994392531178,0.0028062545648401,0.0107272471649745,0.0091587996757341,0.0031628754367943,0.0873754692201262,0.020560543015526,0.0086135894539494,0.0091489819936619,0.0246882019277653,0.0,0.0092187608758402,0.0,0.0126139569343434,0.012228842583136
